,M2_G2_S190,M2_G2_S180,M2_G2_S170,M2_G2_S160,M2_G2_S130,M2_G2_S150,M2_G2_S140,M2_G2_S120,M2_G2_S110,M2_G2_S100,M1_G1_S190,M1_G1_S180,M1_G1_S170,M1_G1_S160,M1_G1_S150,M1_G1_S140,M1_G1_S130,M2_G1_S100,M2_G1_S110,M2_G1_S120,M1_G1_S120,M2_G1_S130,M1_G1_S110,M2_G1_S140,M2_G1_S150,M1_G1_S100,M2_G1_S160,M2_G1_S170,M2_G1_S180,M1_G2_S190,M2_G1_S190,M1_G2_S180,M1_G2_S170,M1_G2_S160,M1_G2_S150,M1_G2_S130,M1_G2_S140,M1_G2_S120,M1_G2_S110,M1_G2_S100
0,6.438675157139934,6.462724005915632,6.502502650984027,6.551483927318996,6.629209039418491,6.638591556725915,6.735581524757608,6.902639041496498,7.32417464836584,7.892160575730259,8.825283174547122,8.843313357949738,8.868967183847834,8.888485797362797,8.952110320878152,9.027460120764612,9.163314945117753,9.17467656477384,9.269955893314808,9.376950505944869,9.412532659041284,9.4718860800255,9.657898439895323,9.676668474804014,9.889626039185984,9.908728992858686,10.057693383586276,10.256624053978463,10.47193367639579,10.51535628840847,10.589024260144942,10.756780869633339,11.054971697365998,11.381441328994349,11.684840107797049,11.808660617175821,12.014274453680947,12.518447219894533,13.514180766996546,14.714148957713714
1,0.966,0.966,0.966,0.964,0.9400000000000001,0.964,0.948,0.9400000000000001,0.9400000000000001,0.936,0.9440000000000001,0.9460000000000001,0.9460000000000001,0.936,0.936,0.936,0.9380000000000001,0.9620000000000001,0.9780000000000001,0.98,0.93,0.98,0.93,0.98,0.982,0.928,0.982,0.982,0.982,0.9140000000000001,0.982,0.9140000000000001,0.9160000000000001,0.9080000000000001,0.9100000000000001,0.8800000000000001,0.9080000000000001,0.8760000000000001,0.8640000000000001,0.8620000000000001
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,0.998,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.998,0.998,0.998,0.998,0.998,0.998,0.99,0.99,0.99
